SYMBOL,2D 1,2D 2,2D 3,2D 4,2D 5,3D 1,3D 2,3D 3,3D 4,3D 5,InVivo 1,InVivo 2,InVivo 3,InVivo 4
NLRX1,4.918663241,4.977413484,4.94000412,4.982584274,4.918648764,5.106852916,5.194296377,5.100545926,5.079898868,5.177311682,5.155964885,5.223814046,5.19227512,5.183250663
NMB,2.949189728,2.84702777,2.882102316,2.851542295,2.800932662,1.626643734,1.986711249,1.956244406,1.689730884,1.675583242,2.632453047,2.612326666,2.862467155,2.742090778
NMD3,6.442598359,6.505115911,6.517768291,6.515028267,6.413113946,6.567787357,6.505306859,6.657493345,6.538555151,6.426656695,6.17565555,6.064762219,6.072386998,6.041126494
NME1,8.531656213,8.54673572,8.668238243,8.552518863,8.648587047,7.428790505,7.527198759,7.522524573,7.515673417,7.458634581,7.754782507,7.773832651,7.823860805,7.729849275
NME1-NME2,2.395291228,2.526495088,2.96808664,2.605945892,2.437107454,1.054068857,0.892005243,1.22713738,1.126017974,1.687607193,1.109697161,1.416377677,1.401933296,1.111309335
NME2,9.596665729,9.685928038,9.738394573,9.618112933,9.724371154,9.39414159,9.352723925,9.315316282,9.321733991,9.282349162,9.54760891,9.628274078,9.647515772,9.517893684
NME3,4.556823386,4.572519043,4.570567628,4.521516882,4.586415578,5.114608329,4.977465327,4.877461619,4.932896725,4.994210466,4.730428195,5.046374105,4.804021888,4.784922894
NME4,6.905804341,7.04247448,7.08270022,6.914511347,7.002373418,6.260071724,6.242974272,6.135174476,6.187125653,6.205860551,6.641149566,6.703287009,6.733342634,6.631033143
NME6,3.555021184,3.737854764,3.640901716,3.626086001,3.566107567,3.514479638,3.664533549,3.709234845,3.407308351,3.557035989,3.654592073,3.653837591,3.658446989,3.572793649
NME7,4.890111292,4.790935,4.904331377,4.926259145,4.908433799,4.608380007,4.518622121,4.737633643,4.51196552,4.37145555,4.546240836,4.483577235,4.406534025,4.432753814
NMI,4.398794745,4.241456863,4.381711579,4.326220217,4.276400999,4.515361945,4.332182283,4.57004576,4.399744205,4.297515567,4.837407987,4.785844551,4.62696287,4.809097095
NMNAT1,3.382095927,3.192160244,3.330371415,3.276310075,3.3345361,3.627203977,3.643991599,3.492332711,3.561879163,3.274489158,2.85830494,3.088708678,2.768699148,2.546815515
NMNAT2,3.088399052,2.918344492,2.961390279,2.936310788,2.905772762,4.675981125,5.090899539,4.949175157,4.791006499,4.875271217,5.514874004,5.487171907,5.463888099,5.231207907
NMNAT3,1.023764836,1.375209025,0.71870433,1.096513931,1.143088178,0.593704037,0.324038399,0.882907128,0.440382517,0.705512498,1.739930773,1.860136568,1.688133191,2.001227733
NMRAL1,5.230659882,5.391376343,5.30626606,5.225225893,5.350511569,5.305584935,5.288296082,5.212249049,5.174188314,5.246040571,5.292240563,5.524182078,5.335690918,5.244161694
NMRK1,2.099457949,2.24173785,2.234685758,2.38430479,2.223668407,3.569687384,3.202737856,3.373546727,3.150416188,3.197250003,3.274169756,3.413379662,3.153356226,3.236009503
NMT1,8.185046096,8.238054293,8.226054882,8.16656644,8.211959571,7.875308364,8.003016004,7.927355686,7.942717386,7.997548221,7.777441317,7.826468164,7.808480622,7.76008318
NMT2,3.997613609,4.058128165,4.107973586,4.030385807,4.154037645,3.707345343,3.580550259,3.685809024,3.606289597,3.644015928,3.342187896,3.062463857,3.057479709,3.515179927
NMU,-0.321208934,0.161213295,0.087027315,0.021732115,0.472777078,-1.092489162,-0.485978647,-0.067004819,-0.017740303,-0.572844894,-0.124320859,-0.252869911,0.036586657,0.320382753
NNMT,5.384323498,5.448134216,5.45682541,5.42869946,5.345278177,5.470589445,5.341092531,5.341132514,5.148139614,5.283892488,6.733086901,6.783403165,6.642750914,6.939524564
NNT,6.350871457,6.337753488,6.251714471,6.370624777,6.327829928,6.659974042,6.747799989,6.747928676,6.732282657,6.743953595,6.403163018,6.286742747,6.278227853,6.292129173
NOA1,5.052485715,5.225206563,5.168535055,5.10952182,5.144332385,5.020325223,4.942145722,5.036137434,5.029828392,4.850259732,4.728840949,4.816005608,4.872112077,4.831800634
NOB1,6.743232717,6.770841031,6.880301621,6.750791912,6.862236148,6.431307382,6.389380647,6.351598103,6.342058437,6.388075708,6.243923039,6.290704859,6.373281258,6.289788384
NOC2L,7.115683173,7.1136562,7.210925198,7.065299867,7.11496992,6.205560026,6.406631722,6.284302404,6.359190802,6.370591751,6.323900251,6.341245932,6.345538774,6.455239236
NOC3L,5.696760477,5.553228427,5.746518038,5.686405238,5.543117261,4.800441731,4.724628603,4.841400603,4.859114604,4.695963827,5.155964885,4.898436274,5.101921429,5.121410353
NOC4L,5.649845111,5.748511454,5.801421644,5.719243534,5.782636631,4.950111231,5.18543928,5.090669713,5.224025448,5.232554235,5.357378421,5.58444589,5.441272784,5.419987755
NOD1,3.408105159,3.282457034,3.300188684,3.291100541,3.453882939,3.399832129,3.444630181,3.405766667,3.230625243,3.538366305,4.233489247,4.183420772,4.329812904,4.46076897
NOL10,6.050546424,5.972473586,6.017179938,6.047627085,6.022284468,5.327772951,5.312903972,5.411847763,5.3736388,5.400471757,5.536810579,5.433913599,5.47506419,5.475281689
NOL11,7.405200524,7.312068452,7.384405921,7.369390009,7.380151288,6.48674101,6.501743646,6.599822675,6.536046309,6.529103736,6.470244871,6.36345117,6.427598889,6.459410916
NOL12,4.257518163,4.055117544,4.162679197,4.002573306,4.326835624,3.692913061,3.800677595,3.749964089,3.930506982,4.029905187,3.982240411,4.270831914,4.027784606,4.171407646
NOL3,5.075998537,4.920651964,5.097477454,5.021352954,5.049549908,6.569763363,6.193031953,6.185688164,6.033995641,6.303533151,5.781521911,5.930452154,5.850634157,5.767660595
NOL6,6.89980175,6.836751453,6.940979359,6.879310291,6.977595255,6.785035648,6.96002058,6.810038812,6.825924053,6.993363988,7.05687989,7.115948659,7.146996901,6.996376357
NOL7,5.680846487,5.746646545,5.727364477,5.747669644,5.847822577,5.299473961,5.216204107,5.258855737,5.368007379,5.265090666,5.201309698,5.10540915,5.141740115,5.06686034
NOL8,5.927816299,5.861822136,5.764315551,5.872157319,5.897930411,5.649934923,5.722265089,5.658424091,5.760131142,5.66140045,5.593727956,5.675573403,5.632414212,5.613972597
NOL9,4.592703867,4.49576783,4.425712387,4.689319833,4.594280145,4.252619796,4.213473036,4.396523567,4.450870006,4.443463408,4.800104991,4.784239525,4.657369248,4.678005246
NOLC1,8.2506383,8.204650873,8.264177784,8.210566788,8.30212813,7.435454883,7.568177874,7.535973618,7.49533511,7.498310341,7.720477162,7.657477663,7.733214774,7.773268854
